Relocated origin time,Relocated Horizantal Difference,Relocated Depth Difference,Relocated Total Difference,Year/Mo. Category
15/12/2011 00:57:20.741,8308.18,753.23,8342.26,2011
17/12/2011 16:10:01.008,8307.84,796.19,8345.91,2011
09/01/2012 18:41:47.933,8236.56,701.34,8266.36,2012/1
10/01/2012 17:01:24.622,8358.09,688.03,8386.36,2012/1
13/01/2012 23:28:40.711,8333.91,1081.55,8403.80,2012/1
18/01/2012 08:59:57.940,8201.72,734.78,8234.57,2012/1
21/01/2012 03:41:45.846,8485.83,616.32,8508.18,2012/1
24/01/2012 14:06:08.326,8334.95,739.25,8367.67,2012/1
24/01/2012 14:06:10.344,8261.09,760.72,8296.04,2012/1
24/01/2012 17:14:26.948,8526.42,685.67,8553.94,2012/1
24/01/2012 21:15:59.578,8348.80,749.20,8382.35,2012/1
26/01/2012 02:36:33.205,8261.05,389.95,8270.25,2012/1
26/01/2012 02:37:16.888,8386.10,385.38,8394.95,2012/1
28/01/2012 15:02:24.367,8216.97,455.55,8229.59,2012/1
29/01/2012 15:48:59.655,7752.82,944.72,7810.17,2012/1
31/01/2012 02:43:52.083,8348.25,677.80,8375.72,2012/1
09/02/2012 04:47:23.304,8100.65,791.89,8139.26,2012/2
09/02/2012 04:47:24.077,8323.60,746.25,8356.98,2012/2
10/02/2012 10:19:04.397,8291.10,576.83,8311.14,2012/2
13/02/2012 23:38:59.130,8314.87,585.41,8335.45,2012/2
14/02/2012 03:21:34.469,8302.26,563.66,8321.37,2012/2
14/02/2012 08:05:31.362,8330.02,588.82,8350.80,2012/2
14/02/2012 19:17:12.873,8315.28,427.46,8326.26,2012/2
14/02/2012 21:25:11.642,8148.68,391.92,8158.10,2012/2
14/02/2012 23:49:02.623,8334.50,583.69,8354.91,2012/2
15/02/2012 01:09:50.060,7929.36,614.78,7953.16,2012/2
15/02/2012 01:23:42.483,8329.06,596.46,8350.39,2012/2
15/02/2012 05:08:29.080,7302.15,476.97,7317.71,2012/2
19/02/2012 05:41:17.017,8176.79,534.56,8194.24,2012/2
20/02/2012 00:31:34.020,8231.75,533.10,8248.99,2012/2
20/02/2012 01:27:29.384,7893.96,543.32,7912.64,2012/2
20/02/2012 02:42:58.033,7863.81,540.09,7882.34,2012/2
20/02/2012 04:29:01.508,7820.28,430.97,7832.15,2012/2
20/02/2012 16:59:47.242,8273.76,565.06,8293.03,2012/2
20/02/2012 17:48:32.065,8031.04,580.93,8052.03,2012/2
20/02/2012 23:25:19.309,8054.96,413.92,8065.59,2012/2
21/02/2012 11:28:44.929,7907.50,571.71,7928.14,2012/2
22/02/2012 00:44:57.504,8381.02,639.36,8405.38,2012/2
22/02/2012 10:23:38.419,7884.35,587.98,7906.24,2012/2
23/02/2012 04:26:53.038,7846.19,399.10,7856.33,2012/2
23/02/2012 04:26:54.089,7998.27,375.24,8007.06,2012/2
23/02/2012 04:26:57.017,8419.78,281.49,8424.48,2012/2
23/02/2012 04:27:10.773,7937.12,546.69,7955.93,2012/2
23/02/2012 04:28:30.604,7961.39,492.24,7976.59,2012/2
23/02/2012 10:20:59.176,7940.31,321.22,7946.81,2012/2
23/02/2012 17:39:55.562,7978.63,475.31,7992.78,2012/2
24/02/2012 03:25:24.438,7986.61,418.46,7997.56,2012/2
24/02/2012 22:41:25.464,8329.02,452.33,8341.30,2012/2
25/02/2012 04:12:39.432,8295.59,547.83,8313.66,2012/2
25/02/2012 06:01:20.972,8026.11,451.59,8038.81,2012/2
25/02/2012 07:30:50.955,8337.33,530.20,8354.17,2012/2
