SLB origin time,SLB Horizontal Difference,SLB Depth Difference,SLB Total Difference,Year/Mo. Category
15/12/2011 00:57:20.746,8342.88,716.00,8373.55,2011
17/12/2011 16:10:01.009,8323.86,766.00,8359.03,2011
09/01/2012 18:41:47.932,8323.63,663.00,8350.00,2012/1
10/01/2012 17:01:24.622,8332.26,646.00,8357.27,2012/1
13/01/2012 23:28:40.715,8308.69,972.00,8365.35,2012/1
18/01/2012 08:59:57.938,8302.90,677.00,8330.45,2012/1
21/01/2012 03:41:45.843,8489.00,610.00,8510.89,2012/1
24/01/2012 14:06:08.324,8433.93,696.00,8462.60,2012/1
24/01/2012 14:06:10.339,8354.07,717.00,8384.79,2012/1
24/01/2012 17:14:26.948,8671.40,657.00,8696.25,2012/1
24/01/2012 21:15:59.580,8434.75,724.00,8465.76,2012/1
26/01/2012 02:36:33.208,8232.39,444.00,8244.35,2012/1
26/01/2012 02:37:16.895,8431.27,453.00,8443.43,2012/1
28/01/2012 15:02:24.368,8331.51,583.00,8351.88,2012/1
29/01/2012 15:48:59.660,7836.55,825.00,7879.86,2012/1
31/01/2012 02:43:52.066,8409.84,490.00,8424.10,2012/1
09/02/2012 04:47:23.303,8296.37,762.00,8331.29,2012/2
09/02/2012 04:47:24.072,8348.76,688.00,8377.06,2012/2
10/02/2012 10:19:04.388,8392.06,528.00,8408.65,2012/2
13/02/2012 23:38:59.125,8370.52,567.00,8389.70,2012/2
14/02/2012 03:21:34.468,8381.39,552.00,8399.54,2012/2
14/02/2012 08:05:31.359,8337.22,557.00,8355.80,2012/2
14/02/2012 19:17:12.875,8266.56,409.00,8276.67,2012/2
14/02/2012 21:25:11.643,8258.46,465.00,8271.54,2012/2
14/02/2012 23:49:02.622,8321.14,565.00,8340.29,2012/2
15/02/2012 01:09:50.059,7848.37,599.00,7871.20,2012/2
15/02/2012 01:23:42.477,8431.49,565.00,8450.40,2012/2
15/02/2012 05:08:29.083,7687.22,573.00,7708.54,2012/2
19/02/2012 05:41:17.022,8283.17,553.00,8301.61,2012/2
20/02/2012 00:31:34.022,8377.40,528.00,8394.02,2012/2
20/02/2012 01:27:29.383,8089.45,521.00,8106.21,2012/2
20/02/2012 02:42:58.032,8444.36,529.00,8460.91,2012/2
20/02/2012 04:29:01.509,7530.05,468.00,7544.58,2012/2
20/02/2012 16:59:47.244,8427.75,554.00,8445.94,2012/2
